subjectid;fake_cpr;sex;age;Ethnicity;DODRace;WritingPreference;Installation;Component;Branch;Heightin;weightkg;earlength;footlength;handlength;handbreadth;hipbreadth;chestbreadth;thighcircumference;waistcircumference;anklecircumference;bicepscircumference;calfcircumference;span
1791;020173-2889;Man;37;Salvadoran;3;Right hand;Fort Hood;Regular Army;Combat Service Support;65;665,000000000000;77;269;187;82;316;246,000000000000;557,000000000000;870,000000000000;210,00;311,000000000000;358,000000000000;1749
5612;200683-3385;Man;27;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;74;879,000000000000;69;280;195;88;351;296,000000000000;617,000000000000;966,000000000000;225,00;343,000000000000;400,000000000000;1941
3910;160790-2507;Male;20;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;71;675,000000000000;70;265;193;88;332;269,000000000000;528,000000000000;806,000000000000;223,00;315,000000000000;368,000000000000;1803
5736;201079-6873;Male;30;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;71;884,000000000000;63;284;194;83;353;299,000000000000;620,000000000000;1096,000000000000;220,00;341,000000000000;381,000000000000;1894
1639;140990-4507;Male;20;Filipino;1;Left hand;Fort Hood;Regular Army;Combat Service Support;68;695,000000000000;58;236;183;79;315;251,000000000000;637,000000000000;895,000000000000;193,00;325,000000000000;340,000000000000;1757
4939;250580-4831;Male;30;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;74;1218,000000000000;70;295;197;92;415;325,000000000000;781,000000000000;1214,000000000000;255,00;422,000000000000;437,000000000000;1908
465;040280-2935;Male;30;NA;2;Right hand;Fort Hood;Regular Army;Combat Service Support;68;719,000000000000;58;284;210;84;315;270,000000000000;594,000000000000;790,000000000000;218,00;362,000000000000;367,000000000000;1854
5092;060384-8381;Male;26;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;69;881,000000000000;76;275;196;92;343;287,000000000000;613,000000000000;1002,000000000000;230,00;334,000000000000;393,000000000000;1769
5645;270685-3747;Male;25;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;70;575,000000000000;61;250;184;82;309;257,000000000000;497,000000000000;748,000000000000;193,00;288,000000000000;348,000000000000;1773
1200;131265-5927;Male;44;Mexican;3;Right hand;Fort Hood;Regular Army;Combat Service Support;67;876,000000000000;70;258;189;86;338;299,000000000000;628,000000000000;1043,000000000000;227,00;365,000000000000;389,000000000000;1749
3863;100991-6103;Man;19;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;73;850,000000000000;71;293;206;93;343;263,000000000000;627,000000000000;864,000000000000;246,00;351,000000000000;398,000000000000;1810
1134;290886-8297;Male;24;Mexican;3;Right hand;Fort Hood;Regular Army;Combat Service Support;68;865,000000000000;60;269;190;85;347;320,000000000000;630,000000000000;969,000000000000;231,00;374,000000000000;382,000000000000;1765
84;170577-3219;Male;33;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;70;958,000000000000;70;272;198;87;373;305,000000000000;698,000000000000;1095,000000000000;240,00;359,000000000000;420,000000000000;1810
1895;301288-7635;Male;21;Chinese Vietnamese;4;Right hand;Fort Hood;Regular Army;Combat Service Support;66;667,000000000000;64;256;190;86;298;268,000000000000;551,000000000000;770,000000000000;227,00;314,000000000000;373,000000000000;1724
3101;030781-0487;Male;29;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;69;706,000000000000;63;260;200;89;337;272,000000000000;570,000000000000;840,000000000000;215,00;323,000000000000;336,000000000000;1766
5261;220579-1399;Man;31;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;69;847,000000000000;62;237;183;85;338;275,000000000000;652,000000000000;1028,000000000000;213,00;363,000000000000;385,000000000000;1766
2300;181170-4589;Man;39;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;75;1013,000000000000;65;295;212;98;350;281,000000000000;642,000000000000;1021,000000000000;245,00;393,000000000000;404,000000000000;1876
3990;041169-3443;Male;40;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;66;856,000000000000;67;255;184;84;358;265,000000000000;658,000000000000;1061,000000000000;233,00;324,000000000000;417,000000000000;1716
6173;081170-6575;Male;39;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;71;1095,000000000000;70;287;206;94;431;322,000000000000;773,000000000000;1139,000000000000;262,00;413,000000000000;455,000000000000;1803
1328;170675-0495;Male;35;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;73;834,000000000000;65;279;203;94;345;290,000000000000;628,000000000000;922,000000000000;213,00;345,000000000000;364,000000000000;1929
557;011174-5637;Male;35;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;65;727,000000000000;60;255;187;81;339;268,000000000000;582,000000000000;995,000000000000;206,00;331,000000000000;358,000000000000;1680
5781;141285-6955;Male;24;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;70;986,000000000000;69;268;185;91;341;294,000000000000;662,000000000000;1047,000000000000;251,00;385,000000000000;433,000000000000;1786
287;290679-1827;Man;31;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;67;773,000000000000;65;265;190;93;328;279,000000000000;589,000000000000;885,000000000000;242,00;375,000000000000;377,000000000000;1709
3217;110877-1313;Man;33;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;72;1400,000000000000;72;283;213;97;407;363,000000000000;781,000000000000;1379,000000000000;260,00;461,000000000000;456,000000000000;1993
3702;040384-1037;Male;26;Caribbean Islander;2;Right hand;Fort Hood;Regular Army;Combat Service Support;71;674,000000000000;61;282;196;89;312;256,000000000000;532,000000000000;750,000000000000;208,00;320,000000000000;373,000000000000;1922
1522;030782-9173;Male;28;NA;1;Left hand;Fort Hood;Regular Army;Combat Service Support;70;884,000000000000;65;253;187;83;352;302,000000000000;671,000000000000;970,000000000000;232,00;341,000000000000;418,000000000000;1737
858;021269-4955;Male;40;Lakota Sioux;5;Right hand;Fort Hood;Regular Army;Combat Service Support;68;988,000000000000;70;267;189;86;384;307,000000000000;646,000000000000;1068,000000000000;215,00;350,000000000000;373,000000000000;1815
5936;240875-8551;Man;35;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;75;952,000000000000;75;286;205;88;349;314,000000000000;613,000000000000;1012,000000000000;242,00;342,000000000000;411,000000000000;1902
4672;070384-9699;Male;26;Vietnamese;4;Right hand;Fort Hood;Regular Army;Combat Support;64;566,000000000000;61;249;178;77;300;241,000000000000;518,000000000000;754,000000000000;203,00;288,000000000000;367,000000000000;1676
990;281276-4999;Male;33;NA;1;Right hand;Fort Hood;Regular Army;Combat Support;69;717,000000000000;58;248;184;85;318;291,000000000000;592,000000000000;926,000000000000;190,00;321,000000000000;360,000000000000;1797
3175;290583-3541;Male;27;NA;1;Left hand;Fort Hood;Regular Army;Combat Arms;73;717,000000000000;60;270;193;84;339;285,000000000000;547,000000000000;827,000000000000;234,00;294,000000000000;393,000000000000;1879
316;070667-0749;Man;43;NA;1;Right hand;Fort Hood;Regular Army;Combat Support;68;802,000000000000;69;264;191;88;359;271,000000000000;621,000000000000;940,000000000000;223,00;343,000000000000;410,000000000000;1805
5171;191281-1061;Male;28;Colombian;1;Right hand;Fort Hood;Regular Army;Combat Arms;69;988,000000000000;71;267;197;89;350;291,000000000000;685,000000000000;1133,000000000000;222,00;380,000000000000;403,000000000000;1811
733;050178-5297;Man;32;Mexican;3;Right hand;Fort Hood;Regular Army;Combat Service Support;67;662,000000000000;70;264;178;82;317;256,000000000000;567,000000000000;843,000000000000;206,00;308,000000000000;345,000000000000;1683
5410;240582-4807;Male;28;Mexican;3;Right hand;Fort Hood;Regular Army;Combat Arms;66;807,000000000000;70;248;180;86;350;288,000000000000;621,000000000000;1021,000000000000;230,00;340,000000000000;370,000000000000;1764
4907;030184-0583;Male;26;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;74;1053,000000000000;72;284;199;93;360;297,000000000000;658,000000000000;1061,000000000000;250,00;381,000000000000;404,000000000000;1878
5051;270483-8161;Male;27;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;70;683,000000000000;61;264;190;89;328;279,000000000000;548,000000000000;786,000000000000;222,00;313,000000000000;364,000000000000;1830
2330;270871-1943;Male;39;NA;2;Right hand;Fort Hood;Regular Army;Combat Arms;64;749,000000000000;62;255;184;85;311;266,000000000000;614,000000000000;855,000000000000;223,00;370,000000000000;405,000000000000;1705
1167;240384-7895;Male;26;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;69;738,000000000000;66;274;196;90;327;293,000000000000;593,000000000000;830,000000000000;231,00;327,000000000000;370,000000000000;1810
3514;231281-5301;Man;28;Caribbean Islander;2;Right hand;Fort Hood;Regular Army;Combat Service Support;68;604,000000000000;59;278;203;84;268;263,000000000000;498,000000000000;743,000000000000;201,00;349,000000000000;330,000000000000;1832
3992;210971-0043;Male;39;Peruvian;3;Right hand;Fort Hood;Regular Army;Combat Arms;64;774,000000000000;65;256;180;84;342;280,000000000000;585,000000000000;967,000000000000;215,00;343,000000000000;378,000000000000;1699
1706;170488-0121;Man;22;NA;1;Left hand;Fort Hood;Regular Army;Combat Service Support;69;768,000000000000;60;256;181;88;337;284,000000000000;614,000000000000;922,000000000000;213,00;328,000000000000;373,000000000000;1735
501;150384-3589;Male;26;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;73;1022,000000000000;62;273;195;91;381;270,000000000000;694,000000000000;1120,000000000000;240,00;370,000000000000;405,000000000000;1846
3788;231264-1567;Male;45;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;69;963,000000000000;68;256;181;89;357;303,000000000000;609,000000000000;1060,000000000000;240,00;388,000000000000;427,000000000000;1798
536;040371-9827;Male;39;Mexican;3;Right hand;Fort Hood;Regular Army;Combat Service Support;66;923,000000000000;68;256;190;90;367;272,000000000000;685,000000000000;1030,000000000000;233,00;410,000000000000;410,000000000000;1743
5084;101169-1247;Male;40;NA;2;Right hand;Fort Hood;Regular Army;Combat Support;69;988,000000000000;56;299;210;97;343;293,000000000000;687,000000000000;974,000000000000;243,00;401,000000000000;442,000000000000;1876
3286;031186-3995;Male;23;NA;2;Right hand;Fort Hood;Regular Army;Combat Arms;73;887,000000000000;63;274;200;92;334;279,000000000000;636,000000000000;844,000000000000;237,00;379,000000000000;383,000000000000;1886
3747;050591-6109;Male;19;NA;2;Right hand;Fort Hood;Regular Army;Combat Service Support;72;987,000000000000;64;297;208;94;354;282,000000000000;669,000000000000;969,000000000000;263,00;390,000000000000;436,000000000000;1894
5163;020989-3767;Male;21;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;71;852,000000000000;65;255;188;88;345;277,000000000000;631,000000000000;1010,000000000000;218,00;355,000000000000;365,000000000000;1813
5121;141083-7639;Male;27;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;70;748,000000000000;66;260;191;90;332;264,000000000000;588,000000000000;892,000000000000;226,00;320,000000000000;399,000000000000;1830
29;160969-4339;Male;41;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;72;920,000000000000;73;278;201;85;344;276,000000000000;641,000000000000;1032,000000000000;237,00;357,000000000000;385,000000000000;1798
3662;290777-4029;Male;33;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;71;744,000000000000;67;272;190;86;327;287,000000000000;581,000000000000;851,000000000000;214,00;325,000000000000;373,000000000000;1807
1942;221174-6067;Man;35;Puerto Rican;3;Left hand;Fort Hood;Regular Army;Combat Service Support;68;823,000000000000;69;260;191;81;321;284,000000000000;592,000000000000;979,000000000000;210,00;333,000000000000;369,000000000000;1801
4934;040189-9417;Male;21;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;62;627,000000000000;61;233;165;79;311;279,000000000000;570,000000000000;857,000000000000;202,00;323,000000000000;348,000000000000;1536
1820;210686-0007;Male;24;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;68;778,000000000000;65;273;192;89;338;289,000000000000;597,000000000000;979,000000000000;245,00;317,000000000000;395,000000000000;1797
5748;250276-2789;Man;34;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;72;882,000000000000;69;268;194;92;364;308,000000000000;639,000000000000;984,000000000000;245,00;349,000000000000;396,000000000000;1785
2281;261290-6335;Male;19;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;70;590,000000000000;61;268;194;81;290;268,000000000000;507,000000000000;721,000000000000;211,00;304,000000000000;344,000000000000;1819
1317;150886-6321;Male;24;NA;1;Left hand;Fort Hood;Regular Army;Combat Arms;67;730,000000000000;68;268;204;81;328;284,000000000000;555,000000000000;885,000000000000;212,00;325,000000000000;347,000000000000;1765
4669;220781-3297;Man;29;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;68;864,000000000000;59;269;197;89;355;291,000000000000;649,000000000000;961,000000000000;235,00;363,000000000000;394,000000000000;1798
1966;221185-6209;Man;24;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;68;866,000000000000;63;266;187;87;354;280,000000000000;641,000000000000;996,000000000000;231,00;366,000000000000;410,000000000000;1744
369;270687-7477;Male;23;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;72;737,000000000000;58;268;192;90;330;245,000000000000;609,000000000000;838,000000000000;224,00;320,000000000000;364,000000000000;1774
2499;251090-5405;Male;19;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;73;654,000000000000;67;287;203;93;320;272,000000000000;507,000000000000;752,000000000000;210,00;303,000000000000;353,000000000000;1954
4182;121288-0049;Man;21;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;75;696,000000000000;68;277;202;88;331;272,000000000000;532,000000000000;775,000000000000;221,00;291,000000000000;353,000000000000;1876
5603;191288-0355;Man;21;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;72;775,000000000000;62;264;195;90;349;298,000000000000;576,000000000000;809,000000000000;233,00;362,000000000000;380,000000000000;1875
5742;270888-5639;Man;22;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;66;727,000000000000;69;248;175;81;332;279,000000000000;629,000000000000;862,000000000000;223,00;331,000000000000;394,000000000000;1663
355;201083-0597;Male;26;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;67;797,000000000000;61;265;184;86;330;281,000000000000;613,000000000000;1027,000000000000;231,00;348,000000000000;367,000000000000;1749
5939;031289-8821;Male;20;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;74;744,000000000000;64;262;186;85;344;285,000000000000;586,000000000000;797,000000000000;220,00;320,000000000000;377,000000000000;1855
1073;150283-6399;Male;27;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;71;968,000000000000;67;269;195;92;376;301,000000000000;713,000000000000;1082,000000000000;228,00;386,000000000000;398,000000000000;1813
361;110266-7993;Male;44;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;72;866,000000000000;70;274;204;94;317;277,000000000000;597,000000000000;942,000000000000;225,00;392,000000000000;388,000000000000;1883
1340;141290-2189;Male;19;NA;1;Left hand;Fort Hood;Regular Army;Combat Arms;69;742,000000000000;60;275;182;88;339;276,000000000000;598,000000000000;871,000000000000;228,00;313,000000000000;388,000000000000;1778
